Prime,Ratio
2,0.5
3,0.16666666666666666
5,0.06666666666666668
7,0.038095238095238106
11,0.020779220779220783
13,0.015984015984015987
17,0.01128283481224658
19,0.009501334578733962
23,0.007435827061617883
29,0.0056409722536411525
31,0.005095071712966202
37,0.004131139226729354
41,0.003627341760055042
43,0.0033742714047023644
47,0.0030153063616489215
53,0.0026170583516198186
59,0.0023065599031225517
61,0.002193122530837836
67,0.001963990326123435
71,0.0018256811482274186
73,0.001750653155834511
79,0.0015955319901276555
83,0.0014994156051802063
89,0.0013814840407278307
97,0.0012533051091139084
101,0.0011912603017320317
103,0.0011565633997398365
107,0.001102518381060405
109,0.0010721738384624122
113,0.0010247325181764648
127,0.000903701118391843
131,0.0008692087092929177
137,0.0008247965854604329
139,0.0008069952203066105
149,0.0007474183919618273
151,0.0007325690199360956
157,0.0006999067069453143
163,0.000669849363702264
167,0.0006497939935315375
173,0.0006235017510187008
179,0.0005991190009788633
181,0.0005891888517913684
191,0.0005552565095416036
193,0.0005466255793414751
197,0.0005327518336729098
199,0.0005247203989944237
211,0.000492391654032682
223,0.0004636872078334673
227,0.00045347383321158477
229,0.0004475331279730051
233,0.0004379294127804513
239,0.00042510302830571007
241,0.0004198112893641452
251,0.00040141318504938184
257,0.0003904797519935621
263,0.00038008675479221253
269,0.00037019602139613263
271,0.0003660979104581681
277,0.00035684633871373785
281,0.00035049675973306633
283,0.00034678124637900563
293,0.00033376215521801903
307,0.0003174545580575295
311,0.0003123507870276657
313,0.00030935700951621845
317,0.00030447756141659354
331,0.00029067948461523733
337,0.0002846416318190751
347,0.00027561841006112177
349,0.00027324919736718665
353,0.0002693788121353568
359,0.00026412630047812144
367,0.00025764908874977515
373,0.0002528138511592968
379,0.0002481444660455367
383,0.00024490498215460276
389,0.00024049795162739914
397,0.0002350458570061231
401,0.00023211511065941335
409,0.00022700744318769029
419,0.00022104782057417096
421,0.0002194726579572529
431,0.0002138712676149564
433,0.00021238948054141165
439,0.0002090028601227559
443,0.0002066439113629054
449,0.00020342229136392914
457,0.00019941616308761544
461,0.00019725329797820528
463,0.00019597519885523635
467,0.00019387696332145437
479,0.0001886151668221247
487,0.0001851294655872189
491,0.00018324423681341832
499,0.0001799392305382264
503,0.00017815057019490406
509,0.00017570056235332383
521,0.0001713164792235864
523,0.0001703337843140821
541,0.00016435163662098125
547,0.0001622484164082813
557,0.00015904422865156478
563,0.000157066769325524
569,0.00015513448921079877
571,0.00015431942184191541
577,0.0001524472624781487
587,0.0001495904994674849
593,0.00014782467569636788
599,0.000146097175312604
601,0.00014536790488675071
607,0.00014369150400667287
613,0.00014205065485814643
617,0.00014089951502947425
619,0.00014021664177408098
631,0.00013732786785480516
641,0.00013497122737679757
643,0.00013434150158810336
647,0.00013330331378603145
653,0.00013187433492461918
659,0.0001304735453275443
661,0.00012988138097658723
673,0.00012737252814940206
677,0.00012643181523840205
683,0.00012513602796655898
691,0.000123506181003174
701,0.00012156813821995727
709,0.00012002496016074766
719,0.00011818869512351786
727,0.00011672556134619783
733,0.00011561085612188215
739,0.00011451576005577502
743,0.00011374512909981422
751,0.00011238200504935039
757,0.00011134280553106051
761,0.00011061124964715077
769,0.00010931670966428426
773,0.00010860961581134581
787,0.00010653954689499234
797,0.00010506911400183687
809,0.00010338073516126347
811,0.00010299831567238086
821,0.00010161831387896285
823,0.00010124789475182203
827,0.00010063575512212539
829,0.00010027157265485595
839,9.895692748298061e-05
853,9.721677049324473e-05
857,9.664957813330748e-05
859,9.631203595123539e-05
863,9.575402879045188e-05
877,9.411627459221154e-05
881,9.358213001450319e-05
883,9.32641839329137e-05
887,9.273845572585105e-05
907,9.059125884575967e-05
911,9.009405105846131e-05
919,8.92117371743197e-05
929,8.815540874706727e-05
937,8.730866522655113e-05
941,8.684475095860984e-05
947,8.620281510147124e-05
953,8.55696359769064e-05
967,8.424228898657176e-05
971,8.380849759117232e-05
977,8.320802729113321e-05
983,8.261549810391253e-05
991,8.186520599196984e-05
997,8.129042520767316e-05
